ID,Name,NumYears,MinYear,MeanYear,StdDevYears,MaxYear
488,Bart Peters,1,2005,2005,0,2005
489,Bartosz von Rymon-Lipinski,1,2004,2004,0,2004
490,Basak Alper,2,2011,2011,0,2011
491,Bastian Goldlücke,1,2017,2017,0,2017
492,Bastian Rieck,2,2012,2014.5,3.53553390593274,2017
493,Bastien Liutkus,1,2015,2015,0,2015
494,Bedrich Benes,1,2008,2008,0,2008
495,Been Kim,1,2017,2017,0,2017
496,Behnam Tabatabai,1,1993,1993,0,1993
497,Behzad Kamgar-Parsi,1,1991,1991,0,1991
498,Behzad Sajadi,2,2009,2009,0,2009
499,Bei Chen,1,2019,2019,0,2019
500,Bei Wang 0001,5,2011,2016.2,3.3466401061363,2019
501,Bela Soni,1,2008,2008,0,2008
502,Ben Jacobsen,1,2020,2020,0,2020
503,Ben Maule,1,2011,2011,0,2011
504,Ben Shedd,1,2003,2003,0,2003
505,Ben Shneiderman,16,1991,2006,6.25033332444492,2016
506,Ben Torkian,1,2012,2012,0,2012
507,Benedikt Stehno,1,2014,2014,0,2014
508,Benjamin B. Bederson,6,1994,2003.33333333333,7.08989891794422,2015
509,Benjamin Bach,15,2015,2018.6,2.13139793160666,2021
510,Benjamin Bustos,2,2004,2008,5.65685424949238,2012
511,Benjamin D. Greenberg,1,2001,2001,0,2001
512,Benjamin Eysenbach,1,2017,2017,0,2017
513,Benjamin F. Gregorski,1,2002,2002,0,2002
